# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
7.12087915	-85.16369677
7.12820516	-83.88785039
7.13553117	-78.05114267
7.14285717	-81.47105245
7.15018318	-85.34136353
7.15750919	-91.14186321
7.16483520	-89.34126581
7.17216120	-91.29773941
7.17948721	-75.13169514
7.18681322	-71.17806968
7.19413922	-79.33522043
7.20146523	-79.51381088
7.20879124	-77.84737800
7.21611725	-74.25133338
7.22344325	-85.13736427
7.23076926	-75.86899164
7.23809527	-81.34285263
7.24542128	-79.59520978
7.25274728	-71.99439739
7.26007329	-74.83868032
7.26739930	-82.61822349
7.27472531	-77.46355681
7.28205131	-80.95613035
7.28937732	-80.66989068
7.29670333	-79.88522580
7.30402934	-81.12665146
7.31135534	-96.97677101
7.31868135	-76.66049156
7.32600736	-76.37358097
7.33333336	-79.47919313
7.34065937	-76.67213091
7.34798538	-82.57934776
7.35531139	-76.18311574
7.36263739	-77.37628752
7.36996340	-79.01711381
7.37728941	-76.25947725
7.38461542	-80.32424895
7.39194142	-78.66525416
7.39926743	-78.26846036
7.40659344	-78.70824056
7.41391945	-89.53305792
7.42124545	-76.52384117
7.42857146	-82.88943254
7.43589747	-77.16141106
7.44322347	-80.93462926
7.45054948	-75.56436442
7.45787549	-78.01169370
7.46520150	-76.04416120
7.47252750	-81.49429019
7.47985351	-95.10744425
7.48717952	-77.05115187
7.49450553	-73.66779459
7.50183153	-72.31232235
