# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:44:23
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.60073263	-87.77615833
6.60805864	-74.78352852
6.61538464	-84.60384420
6.62271065	-75.59894050
6.63003666	-78.16998895
6.63736267	-91.01432167
6.64468867	-81.89432947
6.65201468	-81.85932228
6.65934069	-74.46817792
6.66666670	-75.07618158
6.67399270	-82.82387449
6.68131871	-80.83872027
6.68864472	-94.41497361
6.69597072	-74.91550030
6.70329673	-74.35235781
6.71062274	-83.89160831
6.71794875	-78.98631789
6.72527475	-78.47704299
6.73260076	-79.78945941
6.73992677	-82.31086738
6.74725278	-82.42961809
6.75457878	-82.77333710
6.76190479	-80.28836675
6.76923080	-76.58435282
6.77655681	-71.46613323
6.78388281	-73.54209991
6.79120882	-103.05758375
6.79853483	-70.63496430
6.80586083	-74.93193335
6.81318684	-82.71218521
6.82051285	-82.33111567
6.82783886	-80.99268134
6.83516486	-77.52483961
6.84249087	-83.97985214
6.84981688	-81.38244263
6.85714289	-82.51320356
6.86446889	-77.82755300
6.87179490	-75.58303963
6.87912091	-88.19384938
6.88644692	-79.65861134
6.89377292	-76.04745978
6.90109893	-81.91875799
6.90842494	-79.27677021
6.91575095	-88.42626325
6.92307695	-75.14444720
6.93040296	-73.42293740
6.93772897	-74.74957610
6.94505497	-74.85604025
6.95238098	-77.54927364
6.95970699	-74.22030084
6.96703300	-92.53792139
6.97435900	-83.91352259
6.98168501	-87.67853015
6.98901102	-79.86884733
6.99633703	-75.46040980
7.00366303	-82.82994858
7.01098904	-78.32596932
7.01831505	-85.91578054
7.02564106	-75.80493998
7.03296706	-89.86890241
7.04029307	-87.36463720
7.04761908	-74.70831320
7.05494508	-83.25092462
7.06227109	-79.68685291
7.06959710	-95.12336896
7.07692311	-79.44012414
7.08424911	-79.32280190
7.09157512	-82.66092606
7.09890113	-81.46218325
7.10622714	-79.21493237
7.11355314	-79.24292842
7.12087915	-82.33701149
7.12820516	-81.16669293
7.13553117	-75.54095352
7.14285717	-84.81055287
7.15018318	-74.76611313
7.15750919	-77.90436842
7.16483520	-93.32205653
7.17216120	-81.34758431
7.17948721	-78.37658250
7.18681322	-80.34698166
7.19413922	-80.23023284
7.20146523	-94.96333242
7.20879124	-78.16765801
7.21611725	-73.96449094
7.22344325	-68.52234811
7.23076926	-80.66291922
7.23809527	-73.54868192
7.24542128	-83.83958496
7.25274728	-79.85662157
